VANID	External ID	External ID Type 	
100762711	http://www.twitter.com/ccwu	Twitter Handle	ccwu
100762711	http://www.linkedin.com/in/charles-wu-82316	LinkedIn URL	
100762711	http://www.github.com/ccwu	GitHub	
100762881	http://www.linkedin.com/in/bob-english-b61773	LinkedIn URL	
100763039	http://www.linkedin.com/in/peter-phung-b43a9244	LinkedIn URL	
100763931	http://www.linkedin.com/in/dunigan-o-keeffe-82144	LinkedIn URL	
100764832	http://www.linkedin.com/in/martin-chan-b7764115	LinkedIn URL	
100768771	http://www.twitter.com/davidtdublee	Twitter Handle	davidtdublee
100768771	http://www.linkedin.com/in/davidtaiweilee	LinkedIn URL	
100770104	http://www.linkedin.com/in/brian-cordial-60526b6	LinkedIn URL	
100770185	http://www.linkedin.com/in/sue-martin-31ab7031	LinkedIn URL	
100773298	http://www.linkedin.com/in/i-maxine-rowe-70958a8	LinkedIn URL	
100773592	http://www.github.com/codechennerator	GitHub	
100773821	http://www.github.com/johnlloyd88	GitHub	
100773837	http://www.linkedin.com/in/nancy-gardner-9b9b42a	LinkedIn URL	
100773838	http://www.linkedin.com/in/john-kolbisen-b1768a1b	LinkedIn URL	
100773846	http://www.linkedin.com/in/perry-weissburg-6964b65	LinkedIn URL	
100773850	http://www.linkedin.com/in/ruihong-chen-2b876a18	LinkedIn URL	
100773853	http://www.twitter.com/gorillastanley	Twitter Handle	gorillastanley
100773853	http://www.linkedin.com/in/gary-stanley-41582aa	LinkedIn URL	
100773856	http://www.linkedin.com/in/perezkristy	LinkedIn URL	
100773865	http://www.linkedin.com/in/roosmery-yang-618bb6a	LinkedIn URL	
100774556	http://www.linkedin.com/in/christopher-tang-18047559	LinkedIn URL	
100781675	http://www.linkedin.com/in/elizabeth-lin-3302952	LinkedIn URL	
100782139	http://www.linkedin.com/in/macanthony-felarca-636703113	LinkedIn URL	
100783522	http://www.linkedin.com/in/lauren-rice-a2119b40	LinkedIn URL	
100783994	http://www.twitter.com/pjdonnelly	Twitter Handle	pjdonnelly
100783994	http://www.linkedin.com/in/pjdonnelly	LinkedIn URL	
100783994	http://www.github.com/pjdonnelly	GitHub	
100784593	http://www.twitter.com/djraykang	Twitter Handle	djraykang
100784593	http://www.linkedin.com/in/raykang	LinkedIn URL	
100784596	http://www.linkedin.com/in/natalie-soohoo-775b8948	LinkedIn URL	
100786750	http://www.linkedin.com/in/lindawan	LinkedIn URL	
100787864	http://www.linkedin.com/in/christopher-lau-7354b031	LinkedIn URL	
100789986	http://www.linkedin.com/in/matt-olsen-a43a605	LinkedIn URL	
100790013	http://www.github.com/dutchgoose	GitHub	
100790019	http://www.linkedin.com/in/george-fan-888a352	LinkedIn URL	
100790668	http://www.twitter.com/caseymcgty	Twitter Handle	caseymcgty
100790668	http://www.linkedin.com/in/casey-mcginty-657a6a3	LinkedIn URL	
100790668	http://www.github.com/cmcginty	GitHub	
100792484	http://www.linkedin.com/in/matthew-collins-86866823	LinkedIn URL	
100795685	http://www.linkedin.com/in/jianjun-zhou-0909074	LinkedIn URL	
100795686	http://www.linkedin.com/in/jake-espinueva-a81b7870	LinkedIn URL	
100795978	http://www.twitter.com/jylee29	Twitter Handle	jylee29
100797769	http://www.linkedin.com/in/jaytmok	LinkedIn URL	
100797777	http://www.github.com/jjl014	GitHub	
100798459	http://www.twitter.com/kerrychampion	Twitter Handle	kerrychampion
100798459	http://www.linkedin.com/in/kerrychampion	LinkedIn URL	
100798471	http://www.linkedin.com/in/haydee-politoff-felsovanyi-71bb2b31	LinkedIn URL	
100799743	http://www.linkedin.com/in/deanna-kirschenbaum-62813136	LinkedIn URL	
100799766	http://www.linkedin.com/in/magildl	LinkedIn URL	
100799766	http://www.github.com/linkwoman	GitHub	
100799950	http://www.linkedin.com/in/k-amar-murugan-56b9466	LinkedIn URL	
100800054	http://www.linkedin.com/in/khobbie	LinkedIn URL	
100800058	http://www.linkedin.com/in/john-joe-callaghan-46139626	LinkedIn URL	
100801736	http://www.linkedin.com/in/petermark1	LinkedIn URL	
100802558	http://www.linkedin.com/in/dave-yee-b151264	LinkedIn URL	
100803720	http://www.twitter.com/billtmaimone	Twitter Handle	billtmaimone
100803720	http://www.linkedin.com/in/billmaimone	LinkedIn URL	
100803905	http://www.linkedin.com/in/francine-gobel-41126a56	LinkedIn URL	
100804046	http://www.linkedin.com/in/jonathan-ng-8637b245	LinkedIn URL	
100804047	http://www.linkedin.com/in/karen-young-244bbb43	LinkedIn URL	
100804048	http://www.linkedin.com/in/margie-segovia-4291a16	LinkedIn URL	
